animal	treatment	tank	dose	TD	Binary
1	Control	1	1	4	1
2	Control	1	1	5	1
3	Control	1	1	5	1
4	Control	1	1	6	1
5	Control	1	1	6	1
6	Control	1	1	6	1
7	Control	1	1	6	1
8	Control	1	1	6	1
9	Control	1	1	7	1
10	Control	1	1	7	1
11	Control	1	1	7	1
12	Control	1	1	7	1
13	Control	1	1	7	1
14	Control	1	1	7	1
15	Control	1	1	7	1
16	Control	2	1	6	1
17	Control	2	1	6	1
18	Control	2	1	7	1
19	Control	2	1	7	1
20	Control	2	1	7	1
21	Control	2	1	7	1
22	Control	2	1	7	1
23	Control	2	1	7	1
24	Control	2	1	7	1
25	Control	2	1	7	1
26	Control	2	1	7	1
27	Control	2	1	8	0
28	Control	2	1	8	0
29	Control	2	1	8	0
30	Control	2	1	8	0
31	Control	3	1	5	1
32	Control	3	1	5	1
33	Control	3	1	7	1
34	Control	3	1	8	0
35	Control	3	1	8	0
36	Control	3	1	8	0
37	Control	3	1	8	0
38	Control	3	1	8	0
39	Control	3	1	8	0
40	Control	3	1	8	0
41	Control	3	1	8	0
42	Control	3	1	8	0
43	Control	3	1	8	0
44	Control	3	1	8	0
45	Control	3	1	8	0
46	Control	4	1	7	1
47	Control	4	1	7	1
48	Control	4	1	7	1
49	Control	4	1	7	1
50	Control	4	1	7	1
51	Control	4	1	7	1
52	Control	4	1	7	1
53	Control	4	1	8	0
54	Control	4	1	8	0
55	Control	4	1	8	0
56	Control	4	1	8	0
57	Control	4	1	8	0
58	Control	4	1	8	0
59	Control	4	1	8	0
60	Control	4	1	8	0
61	Low_salinity	9	1	8	0
62	Low_salinity	9	1	8	0
63	Low_salinity	9	1	8	0
64	Low_salinity	9	1	8	0
65	Low_salinity	9	1	8	0
66	Low_salinity	9	1	8	0
67	Low_salinity	9	1	8	0
68	Low_salinity	9	1	8	0
69	Low_salinity	9	1	8	0
70	Low_salinity	9	1	8	0
71	Low_salinity	9	1	8	0
72	Low_salinity	9	1	8	0
73	Low_salinity	9	1	8	0
74	Low_salinity	9	1	8	0
75	Low_salinity	9	1	8	0
76	Low_salinity	10	1	6	1
77	Low_salinity	10	1	6	1
78	Low_salinity	10	1	6	1
79	Low_salinity	10	1	6	1
80	Low_salinity	10	1	6	1
81	Low_salinity	10	1	6	1
82	Low_salinity	10	1	6	1
83	Low_salinity	10	1	6	1
84	Low_salinity	10	1	6	1
85	Low_salinity	10	1	6	1
86	Low_salinity	10	1	6	1
87	Low_salinity	10	1	6	1
88	Low_salinity	10	1	7	1
89	Low_salinity	10	1	7	1
90	Low_salinity	10	1	7	1
91	Low_salinity	11	1	6	1
92	Low_salinity	11	1	6	1
93	Low_salinity	11	1	7	1
94	Low_salinity	11	1	7	1
95	Low_salinity	11	1	7	1
