Animal	Treatment	Family	TD	Binary
1	Control	1	6	1
2	Control	1	6	1
3	Control	1	7	1
4	Control	1	7	1
5	Control	1	7	1
6	Control	1	7	1
7	Control	1	7	1
8	Control	1	7	1
9	Control	1	7	1
10	Control	1	7	1
11	Control	1	7	1
12	Control	1	7	1
13	Control	1	7	1
14	Control	1	7	1
15	Control	1	7	1
16	Control	2	7	1
17	Control	2	7	1
18	Control	2	8	0
19	Control	2	8	0
20	Control	2	8	0
21	Control	2	8	0
22	Control	2	8	0
23	Control	2	8	0
24	Control	2	8	0
25	Control	2	8	0
26	Control	2	8	0
27	Control	2	8	0
28	Control	2	8	0
29	Control	2	8	0
30	Control	2	8	0
31	Control	2	8	0
32	Control	3	7	1
33	Control	3	8	0
34	Control	3	8	0
35	Control	3	8	0
36	Control	3	8	0
37	Control	3	8	0
38	Control	3	8	0
39	Control	3	8	0
40	Control	3	8	0
41	Control	3	8	0
42	Control	3	8	0
43	Control	3	8	0
44	Control	3	8	0
45	Control	3	8	0
46	Control	3	8	0
47	Control	3	8	0
48	Control	4	7	1
49	Control	4	7	1
50	Control	4	7	1
51	Control	4	7	1
52	Control	4	7	1
53	Control	4	7	1
54	Control	4	7	1
55	Control	4	8	0
56	Control	4	8	0
57	Control	4	8	0
58	Control	4	8	0
59	Control	4	8	0
60	Control	4	8	0
61	Control	4	8	0
62	Control	4	8	0
63	Control	4	8	0
64	LS	9	8	0
65	LS	9	8	0
66	LS	9	8	0
67	LS	9	8	0
68	LS	9	8	0
69	LS	9	8	0
70	LS	9	8	0
71	LS	9	8	0
72	LS	9	8	0
73	LS	9	8	0
74	LS	9	8	0
75	LS	9	8	0
76	LS	9	8	0
77	LS	9	8	0
78	LS	9	8	0
79	LS	9	8	0
80	LS	9	8	0
81	LS	9	8	0
82	LS	9	8	0
83	LS	10	8	0
84	LS	10	8	0
85	LS	10	8	0
86	LS	10	8	0
87	LS	10	8	0
88	LS	10	8	0
89	LS	10	8	0
90	LS	10	8	0
91	LS	10	8	0
92	LS	10	8	0
93	LS	10	8	0
94	LS	10	8	0
95	LS	10	8	0
96	LS	10	8	0
97	LS	10	8	0
98	LS	11	3	1
99	LS	11	7	1
100	LS	11	8	0
101	LS	11	8	0
102	LS	11	8	0
103	LS	11	8	0
104	LS	11	8	0
105	LS	11	8	0
106	LS	11	8	0
107	LS	11	8	0
108	LS	11	8	0
109	LS	11	8	0
110	LS	11	8	0
111	LS	11	8	0
112	LS	11	8	0
113	LS	11	8	0
114	LS	11	8	0
115	LS	11	8	0
116	LS	11	8	0
117	LS	11	8	0
118	LS	12	8	0
119	LS	12	8	0
120	LS	12	8	0
121	LS	12	8	0
122	LS	12	8	0
123	LS	12	8	0
124	LS	12	8	0
125	LS	12	8	0
126	LS	12	8	0
127	LS	12	8	0
128	LS	12	8	0
129	LS	12	8	0
130	LS	12	8	0
131	LS	12	8	0
132	LS	12	8	0
133	LS	12	8	0
134	HS	13	8	0
135	HS	13	8	0
136	HS	13	8	0
137	HS	13	8	0
138	HS	13	8	0
139	HS	13	8	0
140	HS	13	8	0
141	HS	13	8	0
142	HS	13	8	0
143	HS	13	8	0
144	HS	13	8	0
145	HS	13	8	0
146	HS	13	8	0
147	HS	13	8	0
148	HS	13	8	0
149	HS	14	8	0
150	HS	14	8	0
151	HS	14	8	0
152	HS	14	8	0
153	HS	14	8	0
154	HS	14	8	0
155	HS	14	8	0
156	HS	14	8	0
157	HS	14	8	0
158	HS	14	8	0
159	HS	14	8	0
160	HS	14	8	0
161	HS	14	8	0
162	HS	14	8	0
163	HS	14	8	0
164	HS	15	8	0
165	HS	15	8	0
166	HS	15	8	0
167	HS	15	8	0
168	HS	15	8	0
169	HS	15	8	0
170	HS	15	8	0
171	HS	15	8	0
172	HS	15	8	0
173	HS	15	8	0
174	HS	15	8	0
175	HS	15	8	0
176	HS	15	8	0
177	HS	15	8	0
178	HS	15	8	0
179	HS	15	8	0
180	HS	15	8	0
181	HS	15	8	0
182	HS	15	8	0
183	HS	15	8	0
