Tank	Treatment	Dose	Time elapsed	Outcome	Family
1	1	1	4	1	1
1	1	1	5	1	1
1	1	1	5	1	1
1	1	1	6	1	1
1	1	1	6	1	1
1	1	1	6	1	1
1	1	1	6	1	1
1	1	1	6	1	1
1	1	1	7	1	1
1	1	1	7	1	1
1	1	1	7	1	1
1	1	1	7	1	1
1	1	1	7	1	1
1	1	1	7	1	1
1	1	1	7	1	1
2	1	1	6	1	2
2	1	1	6	1	2
2	1	1	7	1	2
2	1	1	7	1	2
2	1	1	7	1	2
2	1	1	7	1	2
2	1	1	7	1	2
2	1	1	7	1	2
2	1	1	7	1	2
2	1	1	7	1	2
2	1	1	7	1	2
2	1	1	8	0	2
2	1	1	8	0	2
2	1	1	8	0	2
2	1	1	8	0	2
3	1	1	5	1	3
3	1	1	5	1	3
3	1	1	7	1	3
3	1	1	8	0	3
3	1	1	8	0	3
3	1	1	8	0	3
3	1	1	8	0	3
3	1	1	8	0	3
3	1	1	8	0	3
3	1	1	8	0	3
3	1	1	8	0	3
3	1	1	8	0	3
3	1	1	8	0	3
3	1	1	8	0	3
3	1	1	8	0	3
4	1	1	7	1	4
4	1	1	7	1	4
4	1	1	7	1	4
4	1	1	7	1	4
4	1	1	7	1	4
4	1	1	7	1	4
4	1	1	7	1	4
4	1	1	8	0	4
4	1	1	8	0	4
4	1	1	8	0	4
4	1	1	8	0	4
4	1	1	8	0	4
4	1	1	8	0	4
4	1	1	8	0	4
4	1	1	8	0	4
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
9	2	1	8	0	1
10	2	1	6	1	2
10	2	1	6	1	2
10	2	1	6	1	2
10	2	1	6	1	2
10	2	1	6	1	2
10	2	1	6	1	2
10	2	1	6	1	2
10	2	1	6	1	2
10	2	1	6	1	2
10	2	1	6	1	2
10	2	1	6	1	2
10	2	1	6	1	2
10	2	1	7	1	2
10	2	1	7	1	2
10	2	1	7	1	2
11	2	1	6	1	3
11	2	1	6	1	3
11	2	1	7	1	3
11	2	1	7	1	3
11	2	1	7	1	3
11	2	1	7	1	3
11	2	1	7	1	3
11	2	1	7	1	3
11	2	1	7	1	3
11	2	1	7	1	3
11	2	1	7	1	3
11	2	1	7	1	3
11	2	1	7	1	3
11	2	1	7	1	3
11	2	1	7	1	3
12	2	1	7	1	4
12	2	1	7	1	4
12	2	1	7	1	4
12	2	1	7	1	4
12	2	1	7	1	4
12	2	1	7	1	4
12	2	1	7	1	4
12	2	1	7	1	4
12	2	1	8	0	4
12	2	1	8	0	4
12	2	1	8	0	4
12	2	1	8	0	4
12	2	1	8	0	4
12	2	1	8	0	4
12	2	1	8	0	4
13	3	1	7	1	1
13	3	1	8	0	1
13	3	1	8	0	1
13	3	1	8	0	1
13	3	1	8	0	1
13	3	1	8	0	1
13	3	1	8	0	1
13	3	1	8	0	1
13	3	1	8	0	1
13	3	1	8	0	1
13	3	1	8	0	1
13	3	1	8	0	1
13	3	1	8	0	1
13	3	1	8	0	1
14	3	1	7	1	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
14	3	1	8	0	2
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
15	3	1	8	0	3
16	3	1	6	1	4
16	3	1	7	1	4
16	3	1	7	1	4
16	3	1	7	1	4
16	3	1	7	1	4
16	3	1	7	1	4
16	3	1	8	0	4
16	3	1	8	0	4
16	3	1	8	0	4
16	3	1	8	0	4
16	3	1	8	0	4
16	3	1	8	0	4
16	3	1	8	0	4
16	3	1	8	0	4
16	3	1	8	0	4
16	3	1	8	0	4
16	3	1	8	0	4
